2025-11-27 17:46:36,462 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.agent.sac.component | [solace_ai_connector.organization-orchestrator_app_implicit_flow.<unnamed>]  Loading tools asynchronously in dedicated thread...
2025-11-27 17:46:36,465 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.agent.adk.setup | [solace_ai_connector.organization-orchestrator_app_implicit_flow.<unnamed>]  Loading 2 tool(s) from 'tools' list configuration...
2025-11-27 17:46:36,469 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.agent.adk.setup | Loaded 7 tools from built-in group: artifact_management
2025-11-27 17:46:36,471 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.agent.adk.setup | Loaded 1 tools from built-in group: data_analysis
2025-11-27 17:46:36,471 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.agent.adk.setup | [solace_ai_connector.organization-orchestrator_app_implicit_flow.<unnamed>]  Implicitly loaded internal framework tool: _notify_artifact_save
2025-11-27 17:46:36,472 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.agent.adk.setup | [solace_ai_connector.organization-orchestrator_app_implicit_flow.<unnamed>]  Implicitly loaded internal framework tool: _continue_generation
2025-11-27 17:46:36,473 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.agent.adk.setup | [solace_ai_connector.organization-orchestrator_app_implicit_flow.<unnamed>]  Finished loading tools. Total tools for ADK: 10. Total SAM built-ins for prompt: 10. Total cleanup hooks: 0. Peer tools added dynamically.
2025-11-27 17:46:36,474 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.agent.sac.component | [solace_ai_connector.organization-orchestrator_app_implicit_flow.<unnamed>]  Initializing ADK Agent/Runner asynchronously in dedicated thread...
2025-11-27 17:46:36,474 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.agent.adk.setup | [solace_ai_connector.organization-orchestrator_app_implicit_flow.<unnamed>]  Initializing ADK Agent 'OrganizationOrchestrator' (Peer tools & instructions added via callback)...
2025-11-27 17:46:36,475 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.agent.adk.setup | [solace_ai_connector.organization-orchestrator_app_implicit_flow.<unnamed>]  Applying default resilience settings for LiteLlm model (num_retries=3, timeout=120). These can be overridden in YAML.
2025-11-27 17:46:36,476 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.agent.adk.setup | [solace_ai_connector.organization-orchestrator_app_implicit_flow.<unnamed>]  Initialized LiteLlm model: openai/gpt-5-mini
2025-11-27 17:46:36,477 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.agent.adk.setup | [solace_ai_connector.organization-orchestrator_app_implicit_flow.<unnamed>]  ADK Agent 'OrganizationOrchestrator' created. Callbacks assigned.
2025-11-27 17:46:36,477 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.agent.adk.setup | [solace_ai_connector.organization-orchestrator_app_implicit_flow.<unnamed>]  Initializing ADK Runner for agent 'OrganizationOrchestrator'...
2025-11-27 17:46:36,477 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.agent.adk.setup | [solace_ai_connector.organization-orchestrator_app_implicit_flow.<unnamed>]  ADK Runner created successfully.
2025-11-27 17:46:36,478 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.agent.sac.component | [solace_ai_connector.organization-orchestrator_app_implicit_flow.<unnamed>]  Populating agent card tool manifest...
2025-11-27 17:46:36,478 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.agent.sac.component | [solace_ai_connector.organization-orchestrator_app_implicit_flow.<unnamed>]  Agent card tool manifest populated with 10 tools.
2025-11-27 17:46:36,478 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.agent.sac.component | [solace_ai_connector.organization-orchestrator_app_implicit_flow.<unnamed>]  Async initialization steps complete in dedicated thread.
2025-11-27 17:46:36,478 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.agent.sac.component | [solace_ai_connector.organization-orchestrator_app_implicit_flow.<unnamed>]  _perform_async_init: Signaling success to main thread.
2025-11-27 17:46:36,479 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.agent.sac.component | [solace_ai_connector.organization-orchestrator_app_implicit_flow.<unnamed>]  Scheduling agent card publishing every 10 seconds.
2025-11-27 17:46:36,479 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.common.sac.sam_component_base | [solace_ai_connector.organization-orchestrator_app_implicit_flow.<unnamed>]  Async initialization completed successfully.
2025-11-27 17:46:36,964 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.gateway.http_sse.routers.visualization | Initialized Router for A2A Message Visualization.
2025-11-27 17:46:37,045 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.gateway.http_sse.dependencies | SAC Component instance provided.
2025-11-27 17:46:37,045 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.gateway.http_sse.dependencies | Configuring SQLite database (single-connection mode)
2025-11-27 17:46:37,046 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.gateway.http_sse.dependencies | Database initialized successfully
2025-11-27 17:46:37,046 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.gateway.http_sse.main | Persistence enabled - sessions will be stored in database
2025-11-27 17:46:37,047 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.gateway.http_sse.main | Running database migrations...
2025-11-27 17:46:37,047 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.gateway.http_sse.main | Starting community migrations...
2025-11-27 17:46:37,048 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.gateway.http_sse.main | Running initial community database setup
2025-11-27 17:46:37,970 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.gateway.http_sse.main | Community database migrations completed
2025-11-27 17:46:37,970 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.gateway.http_sse.main | No platform database configured - skipping platform migrations
2025-11-27 17:46:37,970 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.gateway.http_sse.main | CORSMiddleware added with origins: ['http://localhost:3000', 'http://127.0.0.1:3000']
2025-11-27 17:46:37,971 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.gateway.http_sse.main | SessionMiddleware added.
2025-11-27 17:46:37,971 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.gateway.http_sse.main | AuthMiddleware added.
2025-11-27 17:46:38,108 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.gateway.http_sse.main | Legacy routers mounted for endpoints not yet migrated
2025-11-27 17:46:38,109 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.gateway.http_sse.main | Registered shared exception handlers from community repo
2025-11-27 17:46:38,110 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.gateway.http_sse.main | Mounted static files directory '/home/sathwik/miniconda/lib/python3.11/site-packages/solace_agent_mesh/client/webui/frontend/static' at '/'
2025-11-27 17:46:38,111 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.gateway.http_sse.services.task_logger_service | [TaskLoggerService] Initialized.
2025-11-27 17:46:38,116 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.gateway.http_sse.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  [_start_listener] FastAPI/Uvicorn server starting in background thread on http://127.0.0.1:8000
2025-11-27 17:46:38,118 | INFO  | <unnamed>_AsyncOpsThread | solace_agent_mesh.core_a2a.service | [CoreA2AService]Added new agent via discovery: OrganizationOrchestrator
2025-11-27 17:46:38,193 | INFO  | FastAPI_Thread | solace_agent_mesh.gateway.http_sse.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  [_start_listener] FastAPI startup event triggered.
2025-11-27 17:46:38,193 | INFO  | FastAPI_Thread | solace_agent_mesh.gateway.http_sse.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>] [EnsureVizFlow] Initializing internal A2A visualization flow...
2025-11-27 17:46:38,193 | WARNING | FastAPI_Thread | solace_ai_connector.flow.app | Invalid 'config_parameters' in app_schema for app 'gdk-gateway-74a56ff9_viz_internal_app' (must be a list). Skipping validation.
2025-11-27 17:46:38,195 | INFO  | FastAPI_Thread | solace_ai_connector.common.messaging.solace_messaging | broker[gdk-gateway-74a56ff9_viz_broker_input]: reconnection_strategy not provided, using default value of forever_retry
2025-11-27 17:46:38,195 | INFO  | FastAPI_Thread | solace_ai_connector.common.messaging.solace_messaging | broker[gdk-gateway-74a56ff9_viz_broker_input]: retry_interval not provided, using default value of 3000 milliseconds
2025-11-27 17:46:38,206 | INFO  | FastAPI_Thread | solace_ai_connector.common.messaging.solace_messaging | broker[gdk-gateway-74a56ff9_viz_broker_input]: Successfully connected to broker at ws://localhost:8008.
2025-11-27 17:46:38,213 | INFO  | FastAPI_Thread | solace_agent_mesh.gateway.http_sse.components.visualization_forwarder_component | [solace_ai_connector.gdk-gateway-74a56ff9_viz_flow.gdk-gateway-74a56ff9_viz_forwarder]  VisualizationForwarderComponent initialized.
2025-11-27 17:46:38,216 | INFO  | FastAPI_Thread | solace_agent_mesh.gateway.http_sse.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>] [EnsureVizFlow] Internal visualization app started.
2025-11-27 17:46:38,225 | INFO  | FastAPI_Thread | solace_agent_mesh.gateway.http_sse.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Task logging is disabled.
2025-11-27 17:46:38,227 | INFO  | FastAPI_Thread | solace_agent_mesh.gateway.http_sse.component | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>] [VizMsgProcessor] Starting visualization message processor loop...
2025-11-27 17:46:50,600 | INFO  | MainThread | solace_ai_connector.solace_ai_connector | Received keyboard interrupt - stopping
2025-11-27 17:46:50,601 | WARNING | MainThread | solace_ai_connector.main | Shutdown initiated due to KeyboardInterrupt.
2025-11-27 17:46:50,601 | WARNING | MainThread | solace_ai_connector.main | Stopping Solace AI Connector
